station_code,year,page,region,station_name,coordinates,latitude,longitude,distance_km,catchment_area_km2,annual_mm,annual_lt_sn_km2,annual_total_m3,avg_annual_flow_m3s,average_of_avg,average_for_max,average_for_min,average_ltsnkm2,average_mm,average_of_mil_m3,oct_max,nov_max,dec_max,jan_max,feb_max,mar_max,apr_max,may_max,jun_max,jul_max,aug_max,sep_max,oct_min,nov_min,dec_min,jan_min,feb_min,mar_min,apr_min,may_min,jun_min,jul_min,aug_min,sep_min,oct_avg,nov_avg,dec_avg,jan_avg,feb_avg,mar_avg,apr_avg,may_avg,jun_avg,jul_avg,aug_avg,sep_avg,oct_ltsnkm2,nov_ltsnkm2,dec_ltsnkm2,jan_ltsnkm2,feb_ltsnkm2,mar_ltsnkm2,apr_ltsnkm2,may_ltsnkm2,jun_ltsnkm2,jul_ltsnkm2,aug_ltsnkm2,sep_ltsnkm2,oct_mm,nov_mm,dec_mm,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mil_m3,nov_mil_m3,dec_mil_m3,jan_mil_m3,feb_mil_m3,mar_mil_m3,apr_mil_m3,may_mil_m3,jun_mil_m3,jul_mil_m3,aug_mil_m3,sep_mil_m3,max_flow,min_flow,mean_flow,flow_variability_index,baseflow_index,oct_coefficient,nov_coefficient,dec_coefficient,jan_coefficient,feb_coefficient,mar_coefficient,apr_coefficient,may_coefficient,jun_coefficient,jul_coefficient,aug_coefficient,sep_coefficient,mean_monthly_mm,flow_concentration_index
E22A065,2019,913,22. Dogu Karadeniz Havzasi,ELEKÇİ DERESİ BOZDAĞI,"37°26'10"" Doğu - 40°59'18"" Kuzey",40.988,37.436,26.661,386.4,645.0,20.5,249210000.0,6.33,7.878,40.347,2.768,20.42,53.75,20.768,90.8,9.08,24.6,31.8,10.4,36.9,47.1,27.0,38.3,45.6,118.0,4.58,0.723,0.974,1.73,6.32,3.77,6.32,4.17,1.48,1.98,1.48,2.54,1.73,2.69,2.51,8.85,13.8,7.95,10.9,16.4,5.13,4.13,8.06,11.7,2.42,6.97,6.5,22.9,35.8,20.6,28.2,42.5,13.3,10.7,20.9,30.4,6.27,18.7,16.8,61.4,96.0,49.8,75.5,110.0,35.5,27.7,55.9,81.4,16.3,7.22,6.51,23.7,37.1,19.2,29.2,42.6,13.7,10.7,21.6,31.4,6.28,118.0,0.723,7.878333333333334,14.977787180029615,0.091770679077639,0.0289922480620155,0.0260465116279069,0.0951937984496124,0.1488372093023255,0.0772093023255813,0.1170542635658914,0.1705426356589147,0.0550387596899224,0.0429457364341085,0.0866666666666666,0.1262015503875969,0.0252713178294573,53.74999999999999,1.0000000000000002
E22A065,2017,940,22. Dogu Karadeniz Havzasi,ELEKÇİ DERESİ BOZDAĞI,"37°26'10"" Doğu - 40°59'18"" Kuzey",40.988,37.436,26.661,386.4,490.0,15.6,189510000.0,6.319,6.056,24.802,2.169,15.651,40.907,15.792,4.98,30.6,51.7,29.4,33.0,38.3,31.8,31.8,34.2,5.38,3.37,3.09,0.562,0.723,2.54,2.54,3.37,7.72,5.38,1.73,0.974,0.089,0.076,0.32,1.16,2.98,8.31,9.51,12.9,14.7,9.49,6.37,4.79,1.25,0.706,0.511,3.01,7.71,21.5,24.6,33.3,37.9,24.5,16.5,12.4,3.24,1.83,1.32,8.06,20.0,57.6,65.9,80.5,102.0,63.6,44.1,32.1,8.69,4.9,3.43,3.11,7.73,22.3,25.5,31.1,39.2,24.6,17.0,12.4,3.36,1.89,1.32,51.7,0.076,6.056416666666667,8.536400787044045,0.0125486742710898,0.0164489795918367,0.0408163265306122,0.1175510204081632,0.1344897959183673,0.1642857142857142,0.2081632653061224,0.1297959183673469,0.09,0.0655102040816326,0.017734693877551,0.01,0.007,40.90666666666667,0.9982073011734026
E22A065,2012,888,22. Dogu Karadeniz Havzasi,ELEKÇİ DERESİ BOZDAĞI,"37°26'10"" Doğu - 40°59'18"" Kuzey",40.988,37.436,26.661,386.4,476.0,15.1,184000000.0,5.817,5.837,25.57,2.502,15.098,39.662,15.333,29.4,76.9,41.2,8.4,25.8,36.9,35.4,11.8,19.8,14.5,3.37,3.37,0.974,3.37,2.81,3.09,3.37,7.72,3.77,2.26,0.974,0.562,0.562,0.562,3.34,9.38,5.26,5.11,8.28,15.5,12.0,3.63,3.4,2.13,1.02,0.992,8.65,24.3,13.6,13.2,21.4,40.0,31.1,9.4,8.8,5.51,2.65,2.57,23.2,62.9,36.5,35.4,53.7,107.0,80.7,25.2,22.8,14.8,7.09,6.65,8.95,24.3,14.1,13.7,20.8,41.4,31.2,9.73,8.81,5.7,2.74,2.57,76.9,0.562,5.836833333333334,13.17495217155421,0.0962850860912024,0.0487394957983193,0.1321428571428571,0.0766806722689075,0.0743697478991596,0.1128151260504201,0.2247899159663865,0.1695378151260504,0.0529411764705882,0.0478991596638655,0.0310924369747899,0.0148949579831932,0.0139705882352941,39.66166666666666,1.0001260663108795
E22A065,2016,934,22. Dogu Karadeniz Havzasi,ELEKÇİ DERESİ BOZDAĞI,"37°26'10"" Doğu - 40°59'18"" Kuzey",40.988,37.436,26.661,386.4,552.0,17.5,213190000.0,6.353,6.792,48.35,1.878,17.574,46.028,17.766,20.7,15.4,10.4,75.0,115.0,62.1,12.5,34.2,60.4,80.7,28.2,65.6,0.32,0.974,1.23,1.73,5.38,4.58,4.58,0.723,1.23,0.178,0.974,0.642,2.91,3.11,4.03,13.2,20.5,11.4,5.46,6.14,6.55,4.6,1.38,2.22,7.53,8.06,10.4,34.2,52.9,29.6,14.1,15.9,17.0,11.9,3.56,5.74,20.2,20.9,27.9,91.6,133.0,79.3,36.6,42.5,44.0,31.9,9.54,14.9,7.79,8.07,10.8,35.4,51.3,30.6,14.1,16.4,17.0,12.3,3.68,5.75,115.0,0.178,6.791666666666665,16.932515337423318,0.0262085889570552,0.0365942028985507,0.0378623188405797,0.0505434782608695,0.1659420289855072,0.2409420289855072,0.143659420289855,0.0663043478260869,0.0769927536231884,0.0797101449275362,0.0577898550724637,0.0172826086956521,0.0269927536231884,46.028333333333336,0.9993844371220624
E22A065,2013,896,22. Dogu Karadeniz Havzasi,ELEKÇİ DERESİ BOZDAĞI,"37°26'10"" Doğu - 40°59'18"" Kuzey",40.988,37.436,26.661,386.4,507.0,16.1,195900000.0,6.258,6.257,53.609,1.743,16.185,42.243,16.325,42.7,125.0,19.8,42.7,30.6,24.6,58.7,13.8,273.0,5.85,1.98,4.58,0.481,0.481,0.32,2.81,4.98,5.38,2.54,1.48,1.23,0.285,0.285,0.642,1.36,18.1,5.81,13.9,9.15,9.61,5.95,2.63,5.02,1.69,0.669,1.2,3.51,46.8,15.0,35.9,23.7,24.9,15.4,6.8,13.0,4.36,1.73,3.12,9.41,121.0,40.3,96.1,57.3,66.6,39.9,18.2,33.7,11.7,4.64,8.07,3.64,46.9,15.6,37.1,22.1,25.7,15.4,7.04,13.0,4.51,1.79,3.12,273.0,0.285,6.257416666666667,43.62822783630092,0.0455459521367976,0.018560157790927,0.2386587771203155,0.0794871794871794,0.1895463510848126,0.1130177514792899,0.1313609467455621,0.078698224852071,0.0358974358974358,0.0664694280078895,0.023076923076923,0.0091518737672583,0.0159171597633136,42.24333333333332,1.000157815828928
E22A065,2020,913,22. Dogu Karadeniz Havzasi,ELEKÇİ DERESİ BOZDAĞI,"37°26'10"" Doğu - 40°59'18"" Kuzey",40.988,37.436,26.661,386.4,410.0,13.0,158300000.0,6.228,5.049,24.058,2.186,13.058,34.133,13.192,5.85,31.8,20.7,34.2,76.9,18.1,14.5,16.3,35.4,3.77,27.0,4.17,1.23,1.23,1.23,2.26,7.72,6.32,3.77,0.723,0.642,0.481,0.143,0.481,2.12,3.06,4.52,6.63,15.6,11.1,5.57,4.44,4.54,1.16,1.03,0.823,5.49,7.91,11.7,17.2,40.4,28.6,14.4,11.5,11.7,3.01,2.66,2.13,14.7,20.5,31.4,46.0,101.0,76.7,37.4,30.8,30.4,8.06,7.12,5.52,5.68,7.93,12.1,17.8,39.1,29.6,14.4,11.9,11.8,3.11,2.75,2.13,76.9,0.143,5.049416666666667,15.229481953360953,0.0283201029821926,0.0358536585365853,0.05,0.0765853658536585,0.1121951219512195,0.2463414634146341,0.1870731707317073,0.0912195121951219,0.0751219512195121,0.0741463414634146,0.0196585365853658,0.0173658536585365,0.0134634146341463,34.13333333333333,1.0009765625
E22A065,2018,942,22. Dogu Karadeniz Havzasi,ELEKÇİ DERESİ BOZDAĞI,"37°26'10"" Doğu - 40°59'18"" Kuzey",40.988,37.436,26.661,386.4,397.0,12.6,153440000.0,6.187,4.876,53.661,1.074,12.617,33.098,12.787,6.78,3.77,62.1,93.0,23.4,58.7,13.8,71.1,11.8,9.08,282.0,8.4,0.562,0.642,0.723,2.26,3.09,2.26,0.723,0.723,0.723,0.642,0.285,0.249,1.4,1.03,6.92,9.29,9.59,11.5,3.66,2.99,2.31,2.23,6.37,1.22,3.63,2.65,17.9,24.1,24.8,29.7,9.48,7.73,5.97,5.78,16.5,3.16,9.71,6.88,48.0,64.4,60.0,79.6,24.6,20.7,15.5,15.5,44.1,8.18,3.75,2.66,18.5,24.9,23.2,30.7,9.5,8.0,5.98,5.99,17.1,3.16,282.0,0.249,4.8758333333333335,57.83626730473423,0.0510681934712015,0.0244584382871536,0.0173299748110831,0.1209068010075566,0.1622166246851385,0.1511335012594458,0.2005037783375314,0.0619647355163728,0.0521410579345088,0.0390428211586901,0.0390428211586901,0.1110831234256927,0.0206045340050377,33.097500000000004,0.9995719716997756
E22A065,2014,966,22. Dogu Karadeniz Havzasi,ELEKÇİ DERESİ BOZDAĞI,"37°26'10"" Doğu - 40°59'18"" Kuzey",40.988,37.436,26.661,386.4,210.0,6.7,81270000.0,5.731,2.569,13.958,0.926,6.644,17.506,6.772,24.6,2.81,20.7,9.75,4.98,24.6,11.1,9.08,23.4,13.8,1.98,20.7,0.562,0.481,1.23,1.23,1.23,1.98,1.48,1.23,0.562,0.481,0.32,0.32,2.14,1.11,4.69,4.18,2.39,4.13,2.8,2.82,2.87,0.917,0.667,2.11,5.54,2.88,12.1,10.8,6.19,10.7,7.25,7.3,7.42,2.37,1.73,5.45,14.8,7.48,32.5,29.0,15.0,28.6,18.8,19.6,19.2,6.36,4.63,14.1,5.73,2.89,12.6,11.2,5.79,11.1,7.26,7.56,7.43,2.46,1.79,5.46,24.6,0.32,2.568666666666667,9.57695302361796,0.1245782507137295,0.0704761904761904,0.0356190476190476,0.1547619047619047,0.1380952380952381,0.0714285714285714,0.1361904761904762,0.0895238095238095,0.0933333333333333,0.0914285714285714,0.0302857142857142,0.022047619047619,0.0671428571428571,17.50583333333333,0.9996667777407532
E22A065,2015,931,22. Dogu Karadeniz Havzasi,ELEKÇİ DERESİ BOZDAĞI,"37°26'10"" Doğu - 40°59'18"" Kuzey",40.988,37.436,26.661,386.4,842.0,26.7,325450000.0,6.305,10.363,96.38,1.464,26.814,70.153,27.121,47.1,245.0,35.4,50.0,36.9,56.9,75.0,21.6,558.0,20.7,4.58,5.38,0.214,0.401,1.73,2.26,2.26,4.17,3.37,0.023,0.103,2.54,0.178,0.32,9.71,18.5,8.38,12.3,9.98,16.9,13.9,4.14,24.5,4.36,0.92,0.769,25.1,47.8,21.7,31.8,25.8,43.9,36.0,10.7,63.3,11.3,2.38,1.99,67.3,124.0,58.1,85.1,62.5,117.0,93.4,28.7,164.0,30.2,6.38,5.16,26.0,47.8,22.5,32.9,24.1,45.4,36.1,11.1,63.4,11.7,2.46,1.99,558.0,0.023,10.363250000000004,53.844112609461305,0.0022193809856946,0.0799287410926365,0.1472684085510688,0.0690023752969121,0.1010688836104513,0.0742280285035629,0.1389548693586698,0.1109263657957244,0.0340855106888361,0.1947743467933491,0.0358669833729216,0.0075771971496437,0.0061282660332541,70.15333333333334,1.000190059868859
E22A066,2017,941,22. Dogu Karadeniz Havzasi,CEVİZDERE DÜZKÖY,"37°18'18"" Doğu - 41°3'37"" Kuzey",41.06,37.305,36.703,373.5,579.0,18.4,216270000.0,6.708,6.914,34.145,2.931,18.502,48.264,18.022,8.78,52.3,65.3,33.5,41.2,34.2,37.1,37.8,85.1,2.9,3.49,8.07,0.869,1.28,4.58,4.12,5.05,8.07,4.58,2.9,2.11,0.727,0.566,0.325,2.01,4.03,10.3,11.3,15.4,16.2,9.7,5.85,5.43,1.35,0.796,0.606,5.37,10.8,27.6,30.2,41.2,43.3,26.0,15.7,14.5,3.6,2.13,1.62,14.4,27.9,73.8,80.9,99.6,116.0,67.3,42.0,37.7,9.65,5.71,4.21,5.37,10.4,27.6,30.2,37.2,43.3,25.1,15.7,14.1,3.6,2.13,1.57,85.1,0.325,6.9143333333333326,12.307766475437498,0.0470038085137154,0.0248704663212435,0.0481865284974093,0.127461139896373,0.1397236614853195,0.172020725388601,0.2003454231433506,0.1162348877374784,0.0725388601036269,0.0651122625215889,0.0166666666666666,0.0098618307426597,0.0072711571675302,48.26416666666668,0.9997064765094874
