station_code,avg_annual_flow_m3s,page
D14A011,1.712,457
D14A064,0.418,464
D14A081,0.076,466
D14A141,0.043,472
D14A162,7.954,477
D14A172,66.399,480
D14A176,8.699,482
D14A179,146.6,484
D14A184,0.409,488
D14A185,0.165,489
D14A186,0.002,490
D14A188,0.033,492
D14A200,5.91,503
D14A201,0.637,504
D14A207,0.181,508
D14A208,0.32,509
D14A211,0.497,512
D14A214,0.34,514
D14A215,0.231,515
E14A002,142.038,518
E14A018,17.939,521
E14A027,39.887,524
E14A038,2.721,529
E14A040,2.043,530
D22A093,5.027,871
D22A098,7.178,874
D22A105,2.512,876
D22A106,3.237,877
D22A159,0.505,903
E22A053,16.124,908
E22A054,5.148,909
E22A062,4.468,911
E22A063,7.014,912
E22A065,6.33,913
E22A066,6.798,914
E22A071,4.73,918
