station_code,year,avg_annual_flow_m3s
D14A179,2010,220.317
D14A179,2011,208.524
D14A179,2012,184.378
D14A179,2013,173.127
D14A179,2016,153.178
D14A179,2014,151.352
D14A179,2015,151.008
D14A179,2018,149.051
D14A179,2017,147.181
D14A179,2019,146.6
E14A002,2013,146.237
D14A179,2020,145.298
E14A002,2017,143.481
E14A002,2018,142.574
E14A002,2014,142.506
E14A002,2015,142.11
E14A002,2019,142.038
E14A002,2016,141.99
E14A002,2020,141.51
E14A002,2012,138.31
D14A172,2010,125.056
D14A172,2011,125.056
D14A172,2012,95.266
D14A172,2018,88.812
D14A172,2019,66.399
D14A172,2020,63.826
E14A027,2013,46.911
E14A027,2014,45.583
E14A027,2016,45.121
E14A027,2015,44.504
E14A027,2017,42.77
E14A027,2018,40.614
E14A027,2019,39.887
E14A027,2020,39.414
E14A027,2012,35.754
E14A018,2012,19.752
E14A018,2013,18.407
E14A018,2014,18.105
E14A018,2015,18.034
E14A018,2016,17.99
E14A018,2019,17.939
E14A018,2018,17.891
E22A053,2017,16.413
E22A053,2016,16.398
E22A053,2013,16.344
E22A053,2018,16.203
E22A053,2015,16.156
E22A053,2019,16.124
E22A053,2014,16.031
E22A053,2020,15.993
D14A176,2010,12.098
D14A176,2011,11.811
D14A176,2012,11.388
D14A176,2009,11.294
D14A162,2006,11.132
D14A176,2013,10.242
D14A176,2016,10.121
D14A162,2007,10.081
D14A176,2015,9.914
D14A162,2008,9.708
D14A162,2010,9.669
D14A176,2017,9.62
D14A176,2014,9.59
D14A162,2011,9.509
D14A162,2009,9.493
D14A176,2008,9.269
D14A162,2012,9.197
D14A176,2018,9.101
D14A162,2013,9.066
D14A176,2019,8.699
D14A162,2016,8.412
D14A162,2014,8.356
D14A162,2015,8.331
D14A176,2020,8.291
D14A162,2017,8.076
D14A162,2019,7.954
D14A162,2020,7.881
D14A162,2018,7.866
E22A063,2016,7.384
D22A098,2008,7.318
E22A063,2017,7.314
D22A098,2013,7.298
D22A098,2017,7.285
E22A063,2012,7.209
D22A098,2016,7.197
E22A063,2013,7.181
D22A098,2019,7.178
D22A098,2018,7.151
E22A063,2018,7.096
E22A066,2013,7.082
D22A098,2012,7.057
E22A063,2019,7.014
