Station Code,Station Name,Region,Coordinates,Observation Period
D14A117,ÇİLKORU D. GÖKDERE,14. Yesilirmak Havzasi,"36°43'56"" Doğu - 40°29'21"" Kuzey",2005-2020
D14A162,YEŞİLIRMAK KOZLU,14. Yesilirmak Havzasi,"37°33'2"" Doğu - 40°15'12"" Kuzey",2005-2020
D14A185,AKSU D. ARPAÖREN,14. Yesilirmak Havzasi,"36°59'31"" Doğu - 40°30'29"" Kuzey",2014-2020
D14A186,ERYABA D. GÜRÇEŞME,14. Yesilirmak Havzasi,"36°48'56"" Doğu - 40°33'52"" Kuzey",2017-2020
D14A200,YEŞİLIRMAK N. KIZILKÖY,14. Yesilirmak Havzasi,"36°40'46"" Doğu - 40°22'38"" Kuzey",2019-2020
D22A093,TURNASUYU CUMHURİYET KÖYÜ,22. Dogu Karadeniz Havzasi,"37°57'40"" Doğu - 40°49'50"" Kuzey",2005-2020
D22A098,AKSU D. SÜRMEN,22. Dogu Karadeniz Havzasi,"38°22'0"" Doğu - 40°36'0"" Kuzey",2008-2020
D22A105,DEĞİRMEN D. SALIPAZARI,22. Dogu Karadeniz Havzasi,"36°49'19"" Doğu - 41°4'24"" Kuzey",2005-2020
D22A106,BATLAMA D. ÇUKURKÖY,22. Dogu Karadeniz Havzasi,"38°18'30"" Doğu - 40°50'36"" Kuzey",2005-2020
E14A018,YEŞİLIRMAK N. GÖMELEÖNÜ,14. Yesilirmak Havzasi,"37°7'43"" Doğu - 40°18'42"" Kuzey",2012-2019
E14A027,KELKİT ÇAYI YEMİŞLI KÖPRÜSÜ,14. Yesilirmak Havzasi,"37°58'23"" Doğu - 40°14'13"" Kuzey",2012-2020
E22A053,PAZARSUYU EMECAN,22. Dogu Karadeniz Havzasi,"38°10'32"" Doğu - 40°55'37"" Kuzey",2013-2020
E22A054,AKÇAY DURAKLI,22. Dogu Karadeniz Havzasi,"37°8'50"" Doğu - 41°6'38"" Kuzey",2012-2020
E22A063,TURNASUYU KAPÇULLU,22. Dogu Karadeniz Havzasi,"38°0'7"" Doğu - 40°57'19"" Kuzey",2012-2020
E22A065,ELEKÇİ DERESİ BOZDAĞI,22. Dogu Karadeniz Havzasi,"37°26'10"" Doğu - 40°59'18"" Kuzey",2012-2020
E22A066,CEVİZDERE DÜZKÖY,22. Dogu Karadeniz Havzasi,"37°18'18"" Doğu - 41°3'37"" Kuzey",2012-2020
E22A071,CURA Ç. CURİ,22. Dogu Karadeniz Havzasi,"37°12'5"" Doğu - 41°6'57"" Kuzey",2012-2020
