station_code,page,raw_table_text
D14A011,505,"Maks.       0.340     2.53      0.495     2.11      3.44      0.216     0.216     5.43     12.1      13.9      12.6       0.495
Min.        0.273     0.037     0.022     0.216     0.216     0.120     0.084     0.084     0.417     2.67      0.495     0.120
Ortalama    0.273     0.246     0.169     0.297     0.279     0.169     0.155     0.700     1.60     10.3       5.72      0.291
LT/SN/Km2   1.88      1.69      1.16      2.05      1.92      1.16      1.07      4.82     11.1      71.1      39.4       2.00
AKIM mm.    5.04      4.39      3.11      5.49      4.65      3.12      2.76     12.9      28.7     191.      106.        5.20
MİL. M3     0.731     0.637     0.452     0.796     0.675     0.452     0.401     1.87      4.16     27.6      15.3       0.754
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  53.83 MİLYON M3         371 MM.        11.8 LT/SN/Km2"
D14A064,512,"Maks.       0.755     1.61      0.632     0.549     0.383     0.383     1.11      0.632     1.22      0.549     0.907     0.822
Min.        0.050     0.115     0.063     0.063     0.063     0.115     0.173     0.173     0.063     KURU      KURU      0.001
Ortalama    0.429     0.763     0.188     0.186     0.284     0.235     0.334     0.291     0.421     0.118     0.041     0.143
LT/SN/Km2   4.29      7.63      1.88      1.86      2.84      2.35      3.34      2.91      4.21      1.18      0.412     1.43
AKIM mm.   11.5      19.8       5.03      4.98      6.87      6.29      8.67      7.79     10.9       3.17      1.10      3.70
MİL. M3     1.15      1.98      0.503     0.498     0.687     0.629     0.867     0.779     1.09      0.317     0.110     0.370
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  8.98 MİLYON M3         90 MM.        2.8 LT/SN/Km2"
D14A081,514,"Maks.       0.044     0.070     0.098     0.170     0.310     0.620     1.54      1.38      2.33      0.132     0.025     0.132
Min.        0.005     0.005     0.012     0.025     0.044     0.012     0.044     0.070     0.070     0.012     0.005     0.005
Ortalama    0.027     0.016     0.018     0.058     0.078     0.085     0.163     0.152     0.142     0.092     0.010     0.015
LT/SN/Km2   2.72      1.64      1.78      5.90      7.83      8.58     16.5      15.3      14.4       9.32      0.981     1.49
AKIM mm.    7.29      4.26      4.77     15.8      18.9      23.0      42.8      41.1      37.2      25.0       2.63      3.86
MİL. M3     0.072     0.042     0.047     0.156     0.187     0.227     0.424     0.407     0.368     0.247     0.026     0.038
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  2.24 MİLYON M3         226 MM.        7.2 LT/SN/Km2"
D14A117,519,"Maks.       0.130     0.220     0.260     0.260     1.65      2.80      2.40      0.810     5.53      0.350     0.130     0.100
Min.        0.070     0.100     0.019     0.070     0.049     0.520     0.460     0.350     0.300     0.070     0.070     0.019
Ortalama    0.099     0.106     0.101     0.112     0.322     0.936     0.792     0.461     0.666     0.148     0.092     0.059
LT/SN/Km2   1.27      1.36      1.29      1.43      4.12     12.0      10.2       5.91      8.54      1.90      1.18      0.751
AKIM mm.    3.40      3.52      3.46      3.83      9.97     32.1      26.3      15.8      22.1       5.10      3.17      1.95
MİL. M3     0.265     0.275     0.270     0.299     0.778     2.51      2.05      1.23      1.73      0.397     0.247     0.152
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  10.20 MİLYON M3         131 MM.        4.1 LT/SN/Km2"
D14A141,525,"Maks.       0.014     0.007     0.007     0.045     0.007     0.014     0.065     0.094     0.065     0.007     0.009     0.007
Min.        0.005     0.005     0.005     0.005     0.005     0.005     0.005     0.009     0.005     0.001     0.007     0.003
Ortalama    0.006     0.005     0.005     0.005     0.005     0.006     0.012     0.027     0.034     0.004     0.007     0.004
LT/SN/Km2   0.293     0.241     0.238     0.250     0.238     0.306     0.568     1.30      1.63      0.174     0.339     0.194
AKIM mm.    0.786     0.625     0.638     0.671     0.576     0.819     1.47      3.48      4.24      0.465     0.909     0.502
MİL. M3     0.017     0.013     0.013     0.014     0.012     0.017     0.031     0.073     0.089     0.010     0.019     0.011
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  0.32 MİLYON M3         15 MM.        0.5 LT/SN/Km2"
D14A162,530,"Maks.       4.43      4.43      7.60      7.93      8.90     14.4      33.3      31.4      12.3       8.23      6.22      5.63
Min.        1.18      0.988     0.988     0.988     0.906     2.55      5.09      5.36      1.64      0.716     0.575     0.322
Ortalama    1.96      1.73      1.66      1.79      1.84      5.68     14.2       9.79      5.53      2.34      1.30      0.695
LT/SN/Km2   2.75      2.43      2.33      2.51      2.58      7.98     19.9      13.7       7.76      3.29      1.83      0.975
AKIM mm.    7.37      6.31      6.24      6.73      6.25     21.4      51.7      36.8      20.1       8.80      4.90      2.53
MİL. M3     5.25      4.49      4.45      4.79      4.45     15.2      36.8      26.2      14.3       6.27      3.49      1.80
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  127.49 MİLYON M3         179 MM.        5.7 LT/SN/Km2"
D14A176,536,"Maks.      14.5       4.01     18.6       3.13     30.9       7.02      4.01      6.61     10.2      11.6      17.2      15.0
Min.        4.19      3.13      2.82      2.82      4.19      3.65      2.67      2.67      2.67      3.83      4.39      3.83
Ortalama    7.76      3.41      3.93      2.87     11.9       4.17      2.93      3.13      4.08      5.30      6.22      6.18
LT/SN/Km2   2.05      0.901     1.04      0.758     3.15      1.10      0.775     0.829     1.08      1.40      1.64      1.63
AKIM mm.    5.50      2.34      2.78      2.03      7.63      2.95      2.01      2.22      2.80      3.75      4.40      4.24
MİL. M3    20.8       8.83     10.5       7.68     28.9      11.2       7.60      8.40     10.6      14.2      16.7      16.0
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  161.41 MİLYON M3         43 MM.        1.4 LT/SN/Km2"
D14A179,538,"Maks.     214.      257.      472.      331.      329.      149.       78.6      92.9     180.      214.      193.      204.
Min.        3.95     33.0      35.0      26.7       2.82     12.1      31.7       3.81     35.3      22.6      69.0      64.9
Ortalama  105.      109.      200.      172.      115.       58.4      39.4      38.9      63.9     107.      126.      126.
LT/SN/Km2   2.93      3.03      5.57      4.80      3.21      1.63      1.10      1.09      1.78      2.98      3.51      3.52
AKIM mm.    7.85      7.85     14.9      12.9       7.76      4.36      2.85      2.91      4.62      7.99      9.40      9.14
MİL. M3   281.      282.      535.      461.      278.      156.      102.      104.      166.      287.      337.      328.
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  3317.00 MİLYON M3         92 MM.        2.9 LT/SN/Km2"
D14A184,542,"Maks.       0.141     0.242     0.531     0.188     0.188     1.97      1.43      1.09      0.843     0.392     0.139     0.115
Min.        KURU      KURU      0.064     0.036     0.014     0.242     0.724     0.571     0.353     0.115     0.093     0.093
Ortalama    0.079     0.098     0.163     0.076     0.052     0.848     1.01      0.781     0.467     0.197     0.094     0.094
LT/SN/Km2   4.15      5.11      8.55      4.00      2.74     44.4      52.9      40.9      24.5      10.3       4.94      4.91
AKIM mm.   11.1      13.2      22.9      10.7       6.64    119.      137.      110.       63.4      27.6      13.2      12.7
MİL. M3     0.213     0.253     0.437     0.205     0.127     2.27      2.62      2.09      1.21      0.527     0.253     0.243
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  10.45 MİLYON M3         547 MM.        17.3 LT/SN/Km2"
D14A185,543,"Maks.       KURU      KURU      KURU      0.229     0.447     0.892     1.08      0.988     0.892     0.092     0.050     0.071
Min.        KURU      KURU      KURU      0.029     0.229     0.409     0.529     0.332     0.029     0.004     0.004     0.004
Ortalama    KURU      KURU      KURU      0.110     0.272     0.543     0.724     0.454     0.277     0.009     0.004     0.005
LT/SN/Km2   KURU      KURU      KURU      1.64      4.05      8.10     10.8       6.77      4.13      0.136     0.064     0.075
AKIM mm.    KURU      KURU      KURU      4.39      9.79     21.7      28.0      18.1      10.7       0.363     0.173     0.194
MİL. M3     KURU      KURU      KURU      0.294     0.657     1.46      1.88      1.22      0.718     0.024     0.012     0.013
===============================================================================================================================
SU YILI  ( 2017 )"
