station_code,catchment_area_km2,page
D14A011,145.1,457
D14A064,100.0,464
D14A081,9.9,466
D14A141,21.0,472
D14A162,712.62,477
D14A172,10693.0,480
D14A176,3783.0,482
D14A179,35865.0,484
D14A184,19.1,488
D14A185,67.1,489
D14A186,11.22,490
D14A188,14.8,492
D14A200,2777.74,503
D14A201,130.48,504
D14A207,18.45,508
D14A208,38.68,509
D14A211,61.43,512
D14A214,40.41,514
D14A215,47.85,515
E14A002,33904.0,518
E14A018,1608.0,521
E14A027,8572.8,524
E14A038,298.0,529
E14A040,338.02,530
D14A117,78.0,556
D22A093,210.0,871
D22A098,321.5,874
D22A105,74.5,876
D22A106,122.0,877
D22A159,20.34,903
E22A053,770.7,908
E22A054,222.2,909
E22A062,740.0,911
E22A063,274.5,912
E22A065,386.4,913
E22A066,373.5,914
E22A071,226.0,918
