station_code,avg_annual_flow_m3s,page
D14A011,1.723,505
D14A064,0.44,512
D14A081,0.076,514
D14A117,0.59,519
D14A141,0.04,525
D14A162,8.076,530
D14A176,9.62,536
D14A179,147.181,538
D14A184,0.408,542
D14A186,0.003,544
D14A188,0.032,546
E14A002,143.481,557
E14A027,42.77,562
E14A038,2.717,567
E14A040,1.916,568
D22A093,5.107,901
D22A098,7.285,902
D22A105,2.47,904
D22A106,3.228,905
E22A053,16.413,935
E22A054,4.968,936
E22A062,4.461,938
E22A063,7.314,939
E22A065,6.319,940
E22A066,6.708,941
E22A071,4.415,945
