station_code,page,raw_table_text
D14A011,504,"Maks.       0.582     0.417     0.216     1.20      0.273     0.084     6.11     29.4      29.1      11.9      12.3       6.99
Min.        0.273     0.164     KURU      0.037     0.057     0.037     0.037     0.037     0.874     0.874     0.005     0.005
Ortalama    0.503     0.316     0.140     0.181     0.139     0.066     0.655     4.75      8.79      6.75      4.80      0.523
LT/SN/Km2   3.46      2.18      0.968     1.25      0.959     0.452     4.51     32.7      60.6      46.5      33.1       3.60
AKIM mm.    9.28      5.64      2.59      3.34      2.40      1.21     11.7      87.6     157.      125.       88.6       9.33
MİL. M3     1.35      0.819     0.376     0.485     0.349     0.175     1.70     12.7      22.8      18.1      12.9       1.35
===============================================================================================================================
SU YILI  ( 2016 )  YILLIK TOPLAM AKIM  73.10 MİLYON M3         504 MM.        15.9 LT/SN/Km2"
D14A064,511,"Maks.       0.265     0.375     0.225     0.612     3.18      2.63      1.24      1.61      1.15      0.265     0.108     0.375
Min.        0.050     0.085     0.160     0.012     0.375     0.684     0.541     0.486     0.160     0.019     0.004     0.004
Ortalama    0.161     0.251     0.169     0.338     1.26      1.24      0.864     0.746     0.500     0.089     0.038     0.104
LT/SN/Km2   1.61      2.51      1.69      3.38     12.6      12.4       8.64      7.46      5.00      0.886     0.384     1.04
AKIM mm.    4.32      6.50      4.54      9.05     31.6      33.1      22.4      20.0      13.0       2.37      1.03      2.69
MİL. M3     0.432     0.650     0.454     0.905     3.16      3.31      2.24      2.00      1.30      0.237     0.103     0.269
===============================================================================================================================
SU YILI  ( 2016 )  YILLIK TOPLAM AKIM  15.06 MİLYON M3         151 MM.        4.8 LT/SN/Km2"
D14A081,513,"Maks.       0.260     0.044     0.550     0.360     0.360     1.46      0.215     3.45      1.90      0.132     0.070     0.025
Min.        KURU      0.012     0.001     0.012     0.025     0.025     0.044     0.025     0.070     0.012     KURU      0.001
Ortalama    0.015     0.015     0.012     0.046     0.069     0.146     0.083     0.164     0.139     0.049     0.021     0.008
LT/SN/Km2   1.53      1.52      1.21      4.60      6.98     14.8       8.41     16.6      14.1       4.91      2.08      0.852
AKIM mm.    4.09      3.94      3.25     12.3      17.5      39.6      21.8      44.4      36.5      13.2       5.58      2.21
MİL. M3     0.041     0.039     0.032     0.122     0.173     0.392     0.216     0.439     0.361     0.130     0.055     0.022
===============================================================================================================================
SU YILI  ( 2016 )  YILLIK TOPLAM AKIM  2.02 MİLYON M3         204 MM.        6.5 LT/SN/Km2"
D14A117,518,"Maks.       0.130     0.130     4.20      0.400     3.80      5.20      1.12      1.80      2.40      0.590     0.130     0.130
Min.        0.070     0.070     0.049     0.010     0.260     0.590     0.400     0.260     0.100     0.049     0.070     0.070
Ortalama    0.099     0.100     0.199     0.159     1.18      1.37      0.675     0.639     0.373     0.152     0.096     0.090
LT/SN/Km2   1.27      1.28      2.56      2.03     15.1      17.5       8.65      8.19      4.78      1.94      1.23      1.15
AKIM mm.    3.40      3.32      6.85      5.45     37.8      46.9      22.4      21.9      12.4       5.21      3.30      2.99
MİL. M3     0.265     0.259     0.534     0.425     2.95      3.66      1.75      1.71      0.967     0.406     0.257     0.233
===============================================================================================================================
SU YILI  ( 2016 )  YILLIK TOPLAM AKIM  13.42 MİLYON M3         172 MM.        5.4 LT/SN/Km2"
D14A141,524,"Maks.       0.032     0.022     0.022     0.032     0.480     0.250     0.120     0.185     0.540     0.045     0.014     0.014
Min.        KURU      0.005     0.014     0.007     0.009     0.032     0.003     0.009     0.014     0.014     0.009     0.009
Ortalama    0.007     0.011     0.015     0.014     0.089     0.107     0.078     0.035     0.043     0.019     0.011     0.009
LT/SN/Km2   0.343     0.524     0.704     0.664     4.25      5.09      3.70      1.67      2.04      0.886     0.521     0.437
AKIM mm.    0.917     1.36      1.88      1.78     10.7      13.6       9.59      4.48      5.29      2.37      1.39      1.13
MİL. M3     0.019     0.029     0.040     0.037     0.224     0.286     0.201     0.094     0.111     0.050     0.029     0.024
===============================================================================================================================
SU YILI  ( 2016 )  YILLIK TOPLAM AKIM  1.14 MİLYON M3         54 MM.        1.7 LT/SN/Km2"
D14A162,529,"Maks.       3.10      4.69      4.69      8.25     47.9      44.5      52.6     111.       36.0      14.2       5.72      5.46
Min.        1.18      1.07      1.52      1.29      3.28     12.0      10.9      10.1       4.95      2.22      1.52      1.41
Ortalama    1.75      1.66      2.06      3.79     12.1      21.5      22.5      25.1      12.7       4.67      1.96      2.10
LT/SN/Km2   2.46      2.33      2.89      5.32     17.0      30.2      31.5      35.2      17.8       6.55      2.76      2.95
AKIM mm.    6.59      6.04      7.73     14.3      42.6      80.8      81.7      94.3      46.1      17.5       7.38      7.64
MİL. M3     4.70      4.31      5.51     10.2      30.4      57.6      58.2      67.2      32.8      12.5       5.26      5.45
===============================================================================================================================
SU YILI  ( 2016 )  YILLIK TOPLAM AKIM  294.13 MİLYON M3         413 MM.        13.1 LT/SN/Km2"
D14A176,536,"Maks.      28.4      22.7      20.0       8.88     16.7      28.1      27.4      36.1      42.6      15.0      12.0      27.9
Min.        5.19      3.47      2.51      2.51      2.23      8.25      6.40      3.29      7.43      5.80      9.74      9.74
Ortalama   15.6      13.6       5.24      4.89      7.25     14.7      13.5      14.5      15.6      10.4      11.0      15.1
LT/SN/Km2   4.13      3.58      1.38      1.29      1.92      3.88      3.57      3.85      4.12      2.74      2.91      3.99
AKIM mm.   11.0       9.29      3.71      3.46      4.80     10.4       9.26     10.3      10.7       7.34      7.80     10.3
MİL. M3    41.8      35.1      14.0      13.1      18.2      39.3      35.0      39.0      40.4      27.8      29.5      39.1
===============================================================================================================================
SU YILI  ( 2016 )  YILLIK TOPLAM AKIM  372.30 MİLYON M3         98 MM.        3.1 LT/SN/Km2"
D14A179,538,"Maks.     269.      275.      243.      331.      315.      311.      303.      689.      555.      228.      281.      288.
Min.       12.5      13.1      12.5      13.1      17.4      13.8      20.3      15.9     192.       25.9      21.1      25.9
Ortalama   98.6      68.6     106.      126.      205.      179.      186.      250.      308.      191.      132.      148.
LT/SN/Km2   2.75      1.91      2.97      3.51      5.72      5.00      5.18      6.96      8.59      5.32      3.67      4.14
AKIM mm.    7.37      4.96      7.95      9.40     14.3      13.4      13.4      18.6      22.3      14.2       9.83     10.7
MİL. M3   264.      178.      285.      337.      514.      480.      482.      669.      799.      511.      353.      384.
===============================================================================================================================
SU YILI  ( 2016 )  YILLIK TOPLAM AKIM  5256.00 MİLYON M3         147 MM.        4.6 LT/SN/Km2"
D14A184,542,"Maks.       4.26      0.619     0.619     0.920     2.29      3.08      1.29      7.62      2.07      0.448     0.302     0.141
Min.        0.099     0.002     0.064     0.188     0.302     0.814     0.814     0.242     0.002     0.002     0.099     0.036
Ortalama    0.463     0.507     0.243     0.425     0.862     1.33      1.02      0.780     0.634     0.326     0.160     0.092
LT/SN/Km2  24.2      26.6      12.7      22.2      45.2      69.4      53.6      40.8      33.2      17.1       8.39      4.80
AKIM mm.   64.9      68.8      34.1      59.6     113.      186.      139.      109.       86.1      45.7      22.5      12.5
MİL. M3     1.24      1.31      0.650     1.14      2.16      3.55      2.65      2.09      1.64      0.872     0.429     0.238
===============================================================================================================================
SU YILI  ( 2016 )  YILLIK TOPLAM AKIM  17.97 MİLYON M3         941 MM.        29.8 LT/SN/Km2"
D14A188,544,"Maks.       0.017     0.033     0.041     0.148     0.491     0.842     0.130     0.148     0.180     0.243     0.033     0.017
Min.        KURU      0.004     0.017     0.012     0.049     0.049     0.002     0.012     0.009     0.009     0.002     KURU
Ortalama    0.005     0.017     0.031     0.043     0.178     0.113     0.058     0.041     0.039     0.057     0.016     0.007
LT/SN/Km2   0.351     1.12      2.07      2.91     12.0       7.66      3.92      2.78      2.64      3.84      1.11      0.455
AKIM mm.    0.940     2.90      5.55      7.79     30.1      20.5      10.2       7.44      6.85     10.3       2.97      1.18
MİL. M3     0.014     0.043     0.082     0.115     0.445     0.304     0.150     0.110     0.101     0.152     0.044     0.017
===============================================================================================================================
SU YILI  ( 2016 )  YILLIK TOPLAM AKIM  1.58 MİLYON M3         107 MM.        3.4 LT/SN/Km2"
