station_code,page,oct_max,nov_max,dec_max,jan_max,feb_max,mar_max,apr_max,may_max,jun_max,jul_max,aug_max,sep_max,oct_min,nov_min,dec_min,jan_min,feb_min,mar_min,apr_min,may_min,jun_min,jul_min,aug_min,sep_min,oct_avg,nov_avg,dec_avg,jan_avg,feb_avg,mar_avg,apr_avg,may_avg,jun_avg,jul_avg,aug_avg,sep_avg,oct_ltsnkm2,nov_ltsnkm2,dec_ltsnkm2,jan_ltsnkm2,feb_ltsnkm2,mar_ltsnkm2,apr_ltsnkm2,may_ltsnkm2,jun_ltsnkm2,jul_ltsnkm2,aug_ltsnkm2,sep_ltsnkm2,oct_mm,nov_mm,dec_mm,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mil_m3,nov_mil_m3,dec_mil_m3,jan_mil_m3,feb_mil_m3,mar_mil_m3,apr_mil_m3,may_mil_m3,jun_mil_m3,jul_mil_m3,aug_mil_m3,sep_mil_m3,annual_total_m3,annual_mm,annual_lt_sn_km2
D14A011,457,0.216,0.164,0.164,1.33,0.216,4.42,5.09,5.77,12.1,12.3,11.0,6.29,0.12,0.084,0.005,0.005,0.057,0.057,0.674,0.769,0.769,0.674,0.582,0.495,0.161,0.13,0.019,0.107,0.139,2.7,1.79,2.1,4.52,7.1,3.38,1.22,1.11,0.897,0.134,0.74,0.956,18.6,12.3,14.5,31.2,48.9,23.3,8.41,2.97,2.32,0.36,1.98,2.31,49.8,31.9,38.7,80.7,131.0,62.4,21.8,0.431,0.337,0.052,0.288,0.336,7.22,4.63,5.62,11.7,19.0,9.05,3.16,61820000.0,426.0,13.5
D14A064,464,0.239,0.173,0.31,2.08,1.75,1.52,0.907,2.53,0.722,0.549,0.31,0.31,,0.063,0.004,0.063,0.239,0.115,0.115,0.239,0.115,0.004,0.004,0.002,0.036,0.102,0.066,0.389,0.547,0.394,0.357,0.698,0.352,0.154,0.109,0.101,0.357,1.02,0.664,3.89,5.47,3.94,3.57,6.98,3.52,1.54,1.09,1.01,0.956,2.65,1.78,10.4,13.2,10.6,9.25,18.7,9.11,4.12,2.92,2.63,0.096,0.265,0.178,1.04,1.32,1.06,0.925,1.87,0.911,0.412,0.292,0.263,8630000.0,86.0,2.7
D14A081,466,1.15,0.132,0.31,3.45,0.36,0.62,1.08,1.08,0.55,2.86,0.26,0.025,0.025,0.012,0.025,0.132,0.07,0.098,0.07,0.098,0.044,0.025,0.012,0.012,0.065,0.04,0.078,0.285,0.115,0.124,0.227,0.156,0.077,0.064,0.017,0.012,6.6,3.99,7.89,28.8,11.7,12.5,23.0,15.7,7.82,6.46,1.69,1.21,17.7,10.4,21.1,77.0,28.2,33.5,59.5,42.1,20.3,17.3,4.54,3.14,0.175,0.102,0.209,0.763,0.279,0.331,0.589,0.417,0.201,0.171,0.045,0.031,3310000.0,335.0,10.6
D14A141,472,0.005,0.032,0.009,0.022,1.54,1.79,0.065,0.185,0.25,0.022,0.022,0.009,,0.001,0.003,0.003,0.001,0.009,0.014,0.032,0.009,0.009,0.009,0.009,0.003,0.008,0.005,0.005,0.371,0.756,0.033,0.058,0.022,0.018,0.013,0.009,0.164,0.39,0.257,0.226,17.6,36.0,1.57,2.75,1.06,0.86,0.628,0.429,0.44,1.01,0.687,0.605,42.7,96.4,4.06,7.37,2.75,2.3,1.68,1.11,0.009,0.021,0.014,0.013,0.896,2.02,0.085,0.155,0.058,0.048,0.035,0.023,3380000.0,161.0,5.1
D14A162,477,14.8,7.51,23.6,18.8,11.8,36.7,84.0,41.0,15.3,4.95,5.2,4.69,0.959,1.18,1.64,2.98,5.9,7.51,12.8,8.59,3.51,0.988,0.906,0.988,2.54,1.65,5.74,7.77,9.68,18.1,30.7,21.4,7.24,2.66,1.4,1.53,3.57,2.32,8.06,10.9,13.6,25.4,43.1,30.0,10.2,3.73,1.96,2.14,9.55,6.01,21.6,29.2,32.9,68.1,112.0,80.4,26.3,10.0,5.26,5.56,6.81,4.28,15.4,20.8,23.4,48.6,79.6,57.3,18.8,7.13,3.75,3.96,289830000.0,407.0,12.9
D14A172,480,107.0,103.0,197.0,195.0,198.0,195.0,174.0,213.0,200.0,209.0,203.0,191.0,11.2,11.2,11.5,11.5,11.6,11.5,11.6,11.6,11.3,12.3,29.1,26.8,20.5,17.0,41.9,71.2,72.5,70.3,70.0,63.1,46.5,63.0,71.3,70.7,1.92,1.59,3.92,6.66,6.78,6.58,6.54,5.9,4.35,5.89,6.67,6.61,5.14,4.12,10.5,17.8,16.4,17.6,17.0,15.8,11.3,15.8,17.9,17.1,55.0,44.0,112.0,191.0,175.0,188.0,181.0,169.0,121.0,169.0,191.0,183.0,1779000000.0,166.0,5.3
D14A176,482,4.39,2.08,1.94,9.74,7.02,14.8,11.1,17.6,9.74,5.59,25.1,4.39,2.08,1.8,1.8,1.47,3.29,3.29,3.83,3.83,3.83,3.83,4.01,3.83,3.44,1.87,1.81,2.46,4.93,5.25,6.74,6.39,4.41,4.06,6.18,3.85,0.91,0.493,0.479,0.649,1.3,1.39,1.78,1.69,1.17,1.07,1.63,1.02,2.44,1.28,1.28,1.74,3.15,3.71,4.62,4.53,3.02,2.87,4.37,2.64,9.22,4.83,4.86,6.58,11.9,14.0,17.5,17.1,11.4,10.9,16.5,9.99,134780000.0,36.0,1.1
D14A179,484,183.0,89.6,207.0,200.0,194.0,187.0,200.0,218.0,236.0,239.0,288.0,186.0,5.22,5.22,6.56,59.9,59.9,52.2,52.2,53.2,53.2,53.2,52.2,52.2,35.6,22.5,69.8,168.0,167.0,120.0,142.0,167.0,135.0,158.0,162.0,149.0,0.991,0.627,1.95,4.69,4.64,3.36,3.96,4.67,3.77,4.4,4.53,4.15,2.66,1.63,5.21,12.6,11.2,8.99,10.3,12.5,9.77,11.8,12.1,10.7,95.2,58.3,187.0,451.0,403.0,323.0,368.0,448.0,350.0,423.0,435.0,385.0,3926500000.0,109.0,3.5
D14A184,488,0.431,0.187,1.22,1.43,0.724,1.28,2.06,2.06,0.665,0.274,0.115,0.093,0.048,0.07,0.163,0.274,0.431,0.392,0.784,0.525,0.235,0.07,0.07,0.048,0.093,0.107,0.452,0.462,0.582,0.812,1.31,1.1,0.363,0.115,0.086,0.069,4.85,5.62,23.7,24.2,30.5,42.5,68.4,57.6,19.0,6.03,4.52,3.63,13.0,14.6,63.4,64.9,73.8,114.0,177.0,154.0,49.2,16.2,12.1,9.4,0.248,0.278,1.21,1.24,1.41,2.18,3.39,2.95,0.94,0.309,0.231,0.18,14570000.0,763.0,24.2
D14A185,489,0.293,0.293,0.293,0.293,0.261,0.701,1.43,0.892,0.134,0.615,0.261,0.166,,0.113,0.113,0.092,0.134,0.134,0.332,0.113,,,,0.029,0.05,0.21,0.128,0.15,0.195,0.277,0.687,0.527,0.023,0.059,0.075,0.075,0.749,3.13,1.9,2.23,2.9,4.13,10.2,7.85,0.335,0.874,1.11,1.12,2.01,8.12,5.09,5.97,7.01,11.1,26.5,21.0,0.869,2.34,2.98,2.9,0.135,0.545,0.342,0.401,0.471,0.742,1.78,1.41,0.058,0.157,0.2,0.195,6440000.0,96.0,3.0
