station_code,year,page,oct_max,nov_max,dec_max,jan_max,feb_max,mar_max,apr_max,may_max,jun_max,jul_max,aug_max,sep_max,oct_min,nov_min,dec_min,jan_min,feb_min,mar_min,apr_min,may_min,jun_min,jul_min,aug_min,sep_min,oct_avg,nov_avg,dec_avg,jan_avg,feb_avg,mar_avg,apr_avg,may_avg,jun_avg,jul_avg,aug_avg,sep_avg,oct_ltsnkm2,nov_ltsnkm2,dec_ltsnkm2,jan_ltsnkm2,feb_ltsnkm2,mar_ltsnkm2,apr_ltsnkm2,may_ltsnkm2,jun_ltsnkm2,jul_ltsnkm2,aug_ltsnkm2,sep_ltsnkm2,oct_mm,nov_mm,dec_mm,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mil_m3,nov_mil_m3,dec_mil_m3,jan_mil_m3,feb_mil_m3,mar_mil_m3,apr_mil_m3,may_mil_m3,jun_mil_m3,jul_mil_m3,aug_mil_m3,sep_mil_m3,annual_total_m3,annual_mm,annual_lt_sn_km2
D14A064,2005,417,0.165,0.34,0.34,1.24,0.74,6.0,2.01,3.2,1.32,0.29,0.152,0.33,0.014,0.13,0.1,0.29,0.1,0.74,0.44,0.88,0.185,0.049,0.049,0.049,0.105,0.186,0.251,0.322,0.393,1.17,0.674,1.13,0.585,0.108,0.083,0.131,1.05,1.86,2.51,3.22,3.93,11.7,6.74,11.3,5.85,1.08,0.83,1.31,2.8,4.83,6.73,8.63,9.5,31.3,17.5,30.3,15.2,2.9,2.22,3.39,0.28,0.483,0.673,0.863,0.95,3.13,1.75,3.03,1.52,0.29,0.222,0.339,13530000.0,135.0,4.3
D14A081,2005,419,0.005,0.215,0.132,0.044,0.17,2.0,1.54,0.93,0.42,6.9,0.025,1.62,0.005,0.005,0.012,0.005,0.001,0.044,0.07,0.044,0.012,0.012,0.005,0.005,0.005,0.03,0.029,0.012,0.027,0.343,0.278,0.099,0.054,0.033,0.013,0.014,0.505,3.05,2.91,1.21,2.7,34.7,28.1,9.96,5.41,3.38,1.31,1.41,1.35,7.91,7.79,3.24,6.54,92.9,72.8,26.7,14.0,9.06,3.5,3.65,0.013,0.078,0.077,0.032,0.065,0.92,0.72,0.264,0.139,0.09,0.035,0.036,2470000.0,249.0,7.9
D14A117,2005,423,0.603,1.1,0.77,39.0,5.3,52.0,3.33,6.8,1.8,0.22,0.1,4.0,0.1,0.1,0.13,0.22,0.32,0.99,0.77,0.603,0.22,0.1,0.049,0.07,0.144,0.124,0.22,0.886,1.32,3.16,1.89,1.73,0.56,0.148,0.09,0.133,1.84,1.59,2.82,11.4,16.9,40.6,24.2,22.2,7.18,1.9,1.15,1.71,4.93,4.13,7.55,30.4,41.0,109.0,62.8,59.6,18.6,5.08,3.07,4.43,0.384,0.322,0.589,2.37,3.2,8.47,4.9,4.65,1.45,0.397,0.24,0.345,27320000.0,350.0,11.1
D14A141,2005,433,0.068,0.034,0.02,0.086,0.25,0.566,0.16,0.16,0.12,0.28,0.052,0.019,,,,0.001,0.005,0.034,0.05,0.03,0.019,0.04,0.003,0.003,0.013,0.005,0.005,0.013,0.028,0.104,0.09,0.094,0.054,0.053,0.017,0.008,0.633,0.214,0.237,0.642,1.35,4.95,4.28,4.46,2.59,2.54,0.813,0.371,1.7,0.555,0.634,1.72,3.27,13.2,11.1,12.0,6.71,6.79,2.18,0.963,0.036,0.012,0.013,0.036,0.069,0.278,0.233,0.251,0.141,0.143,0.046,0.02,1280000.0,61.0,1.9
D14A162,2005,439,0.84,12.5,3.67,3.03,14.0,103.0,95.3,39.6,20.2,2.92,2.56,2.74,0.585,0.66,0.84,1.19,0.84,9.1,18.1,14.5,2.74,1.66,1.3,1.2,0.679,1.33,2.13,1.81,3.07,27.5,37.4,21.8,8.07,2.5,1.77,1.43,0.953,1.86,2.99,2.54,4.31,38.5,52.5,30.6,11.3,3.5,2.48,2.01,2.55,4.83,8.02,6.8,10.4,103.0,136.0,82.0,29.4,9.38,6.65,5.22,1.82,3.44,5.72,4.84,7.44,73.5,97.1,58.4,20.9,6.69,4.74,3.72,288330000.0,405.0,12.8
D22A093,2005,687,23.0,19.5,25.4,22.0,17.5,55.7,53.1,29.0,19.0,6.1,3.6,29.0,0.44,0.63,3.06,2.34,2.58,3.82,4.26,2.58,1.46,0.54,0.44,0.79,2.44,4.1,7.14,4.87,7.26,14.4,13.0,8.08,5.51,1.27,0.862,3.62,11.6,19.5,34.0,23.2,34.6,68.5,62.0,38.5,26.2,6.05,4.1,17.2,31.2,50.6,91.1,62.2,83.6,183.0,161.0,103.0,68.0,16.2,11.0,44.7,6.55,10.6,19.1,13.1,17.6,38.5,33.8,21.6,14.3,3.4,2.31,9.38,190240000.0,906.0,28.7
D22A105,2005,693,7.18,32.4,23.1,8.62,14.2,31.8,14.7,32.4,22.5,14.2,31.1,46.2,0.19,0.26,1.56,0.54,1.0,2.06,0.54,0.33,0.295,0.11,0.09,0.09,0.523,3.43,4.93,2.09,3.03,5.26,3.25,2.49,1.13,0.303,0.34,0.791,7.02,46.0,66.1,28.1,40.7,70.6,43.7,33.4,15.2,4.07,4.56,10.6,18.8,119.0,177.0,75.3,98.4,189.0,113.0,89.6,39.5,10.9,12.2,27.5,1.4,8.88,13.2,5.61,7.33,14.1,8.43,6.67,2.94,0.811,0.91,2.05,72330000.0,971.0,30.8
D22A106,2005,694,4.6,1.6,33.0,13.0,6.2,30.4,80.9,10.9,17.2,3.28,10.9,2.76,0.706,0.91,1.6,1.2,1.6,1.2,3.28,1.03,0.536,1.14,0.968,0.968,1.29,1.32,3.74,2.54,3.28,6.19,22.6,2.97,1.95,1.52,1.19,1.14,10.6,10.8,30.7,20.8,26.9,50.8,186.0,24.4,16.0,12.5,9.78,9.31,28.3,28.1,82.2,55.7,65.0,136.0,481.0,65.3,41.5,33.4,26.2,24.1,3.45,3.43,10.0,6.8,7.93,16.6,58.7,7.97,5.06,4.08,3.2,2.94,130160000.0,1067.0,33.8
D14A064,2006,487,0.24,0.24,0.61,0.39,0.67,0.495,0.495,0.61,0.61,0.165,0.1,13.7,0.165,0.165,0.24,0.2,0.165,0.39,0.44,0.29,0.055,0.024,0.014,0.014,0.212,0.192,0.277,0.266,0.373,0.427,0.482,0.446,0.161,0.062,0.039,0.707,2.12,1.92,2.77,2.66,3.73,4.27,4.82,4.46,1.61,0.619,0.392,7.07,5.67,4.99,7.42,7.12,9.02,11.4,12.5,11.9,4.18,1.66,1.05,18.3,0.567,0.499,0.742,0.712,0.902,1.14,1.25,1.19,0.418,0.166,0.105,1.83,,,
D14A081,2006,489,0.012,0.36,0.044,0.044,0.76,0.76,0.36,1.38,0.132,0.012,0.012,0.012,0.012,0.012,0.005,0.005,0.012,0.132,0.07,0.07,0.005,0.001,0.001,0.012,0.012,0.038,0.024,0.022,0.207,0.203,0.124,0.115,0.028,0.003,0.005,0.012,1.21,3.8,2.46,2.25,20.9,20.5,12.6,11.6,2.82,0.297,0.528,1.21,3.25,9.84,6.58,6.02,50.6,54.9,32.5,31.0,7.32,0.794,1.41,3.14,0.032,0.097,0.065,0.06,0.501,0.543,0.322,0.307,0.072,0.008,0.014,0.031,,,
