station_code,catchment_area_km2,page
D14A011,145.1,502
D14A064,100.0,509
D14A081,9.9,511
D14A117,78.0,516
D14A141,21.0,523
D14A162,712.62,529
D14A176,3783.0,537
D14A179,35865.0,539
D14A184,19.1,544
D14A188,14.8,546
E14A002,33904.0,550
E14A018,1608.0,553
E14A027,8572.8,556
E14A038,298.0,562
E14A040,338.02,563
D14A172,10693.0,580
D14A185,67.1,580
D22A093,210.0,892
D22A098,321.5,895
D22A105,74.5,897
D22A106,122.0,898
E22A053,770.7,926
E22A054,222.2,927
E22A062,740.0,928
E22A063,274.5,929
E22A065,386.4,931
E22A066,373.5,932
E22A071,226.0,937
