station_code,year,page,region,station_name,coordinates,latitude,longitude,distance_km,catchment_area_km2,annual_mm,annual_lt_sn_km2,annual_total_m3,avg_annual_flow_m3s,average_of_avg,average_for_max,average_for_min,average_ltsnkm2,average_mm,average_of_mil_m3,oct_max,nov_max,dec_max,jan_max,feb_max,mar_max,apr_max,may_max,jun_max,jul_max,aug_max,sep_max,oct_min,nov_min,dec_min,jan_min,feb_min,mar_min,apr_min,may_min,jun_min,jul_min,aug_min,sep_min,oct_avg,nov_avg,dec_avg,jan_avg,feb_avg,mar_avg,apr_avg,may_avg,jun_avg,jul_avg,aug_avg,sep_avg,oct_ltsnkm2,nov_ltsnkm2,dec_ltsnkm2,jan_ltsnkm2,feb_ltsnkm2,mar_ltsnkm2,apr_ltsnkm2,may_ltsnkm2,jun_ltsnkm2,jul_ltsnkm2,aug_ltsnkm2,sep_ltsnkm2,oct_mm,nov_mm,dec_mm,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mil_m3,nov_mil_m3,dec_mil_m3,jan_mil_m3,feb_mil_m3,mar_mil_m3,apr_mil_m3,may_mil_m3,jun_mil_m3,jul_mil_m3,aug_mil_m3,sep_mil_m3,max_flow,min_flow,mean_flow,flow_variability_index,baseflow_index,oct_coefficient,nov_coefficient,dec_coefficient,jan_coefficient,feb_coefficient,mar_coefficient,apr_coefficient,may_coefficient,jun_coefficient,jul_coefficient,aug_coefficient,sep_coefficient,mean_monthly_mm,flow_concentration_index
E14A027,2020,533,14. Yesilirmak Havzasi,KELKİT ÇAYI YEMİŞLI KÖPRÜSÜ,"37°58'23"" Doğu - 40°14'13"" Kuzey",40.237,37.973,72.108,8572.8,77.0,2.4,662650000.0,39.414,20.989,39.314,6.781,2.448,6.452,55.221,67.9,74.4,76.6,82.2,84.6,60.6,4.28,9.35,2.72,3.08,3.08,2.96,21.6,22.1,2.74,3.67,17.4,2.49,2.25,2.13,1.8,2.01,1.72,1.46,54.6,51.3,33.8,27.8,37.9,30.4,3.25,2.87,2.42,2.63,2.42,2.48,6.37,5.98,3.94,3.25,4.42,3.54,0.38,0.335,0.282,0.307,0.282,0.289,17.1,15.5,10.6,8.7,11.1,9.49,0.984,0.898,0.73,0.822,0.755,0.75,146.0,133.0,90.5,74.6,94.9,81.3,8.43,7.7,6.26,7.05,6.48,6.43,84.6,1.46,20.989166666666666,4.030650732520745,0.0695596934926748,0.2220779220779221,0.2012987012987013,0.13766233766233765,0.11298701298701298,0.14415584415584415,0.12324675324675324,0.012779220779220779,0.011662337662337662,0.00948051948051948,0.010675324675324675,0.009805194805194805,0.00974025974025974,6.452416666666667,0.9944594402614008
E14A018,2019,521,14. Yesilirmak Havzasi,YEŞİLIRMAK N. GÖMELEÖNÜ,"37°7'43"" Doğu - 40°18'42"" Kuzey",40.312,37.129,55.657,1608.0,403.0,12.8,647900000.0,17.939,20.581,37.732,7.693,12.805,33.558,53.992,15.0,8.41,23.5,30.7,27.6,66.6,117.0,92.0,27.6,21.7,12.7,9.98,0.017,1.47,2.4,3.18,14.5,18.2,26.0,19.8,2.4,3.18,1.1,0.066,5.01,5.22,10.7,20.7,22.5,35.2,65.9,49.4,15.1,8.0,5.0,4.24,3.11,3.25,6.66,12.9,14.0,21.9,41.0,30.7,9.42,4.97,3.11,2.64,8.34,8.41,17.8,34.5,33.9,58.6,106.0,82.3,24.4,13.3,8.32,6.83,13.4,13.5,28.7,55.4,54.5,94.3,171.0,132.0,39.3,21.4,13.4,11.0,117.0,0.017,20.580833333333334,5.684901000121472,0.0008260112564279062,0.020694789081885857,0.02086848635235732,0.044168734491315136,0.08560794044665013,0.08411910669975185,0.14540942928039702,0.2630272952853598,0.2042183622828784,0.06054590570719603,0.03300248138957817,0.02064516129032258,0.01694789081885856,33.55833333333333,1.0007449714427614
E14A027,2016,557,14. Yesilirmak Havzasi,KELKİT ÇAYI YEMİŞLI KÖPRÜSÜ,"37°58'23"" Doğu - 40°14'13"" Kuzey",40.237,37.973,72.108,8572.8,73.0,2.3,629560000.0,45.121,19.858,70.619,2.423,2.318,6.12,52.463,65.8,56.8,71.1,99.5,75.5,25.4,73.3,160.0,117.0,9.93,81.0,12.1,2.84,2.84,1.2,0.905,1.72,2.25,2.13,3.25,2.84,3.77,2.25,3.08,5.47,12.3,25.6,2.81,5.82,3.0,31.5,75.2,44.6,4.36,23.2,4.44,0.638,1.44,2.99,0.328,0.678,0.35,3.68,8.77,5.2,0.509,2.71,0.518,1.71,3.73,8.0,0.877,1.7,0.937,9.53,23.5,13.5,1.36,7.26,1.34,14.6,32.0,68.6,7.52,14.6,8.04,81.7,201.0,116.0,11.7,62.3,11.5,160.0,0.905,19.85833333333333,8.057070919009652,0.045572807385648346,0.023424657534246576,0.051095890410958904,0.1095890410958904,0.012013698630136986,0.02328767123287671,0.012835616438356165,0.13054794520547944,0.3219178082191781,0.18493150684931506,0.018630136986301372,0.09945205479452054,0.018356164383561645,6.120333333333335,0.9939545776373834
E22A053,2015,926,22. Dogu Karadeniz Havzasi,PAZARSUYU EMECAN,"38°10'32"" Doğu - 40°55'37"" Kuzey",40.927,38.176,64.216,770.7,753.0,23.9,580270000.0,16.156,18.379,77.523,9.839,23.861,62.708,48.356,288.0,105.0,58.0,35.0,22.6,60.4,113.0,56.1,109.0,70.2,7.65,5.33,9.92,8.22,8.79,11.7,10.5,12.4,18.9,15.4,10.2,5.1,3.93,3.01,26.0,20.6,16.8,16.5,14.2,24.1,33.4,24.6,22.2,13.8,4.7,3.65,33.7,26.8,21.9,21.4,18.5,31.3,43.3,32.0,28.8,17.8,6.09,4.74,90.3,69.3,58.5,57.3,44.7,83.8,112.0,85.6,74.6,47.8,16.3,12.3,69.6,53.4,45.1,44.2,34.5,64.6,86.5,66.0,57.5,36.8,12.6,9.47,288.0,3.01,18.379166666666666,15.669916118793925,0.1637723872137837,0.1199203187250996,0.09203187250996016,0.07768924302788845,0.07609561752988048,0.05936254980079682,0.11128818061088977,0.14873837981407703,0.11367861885790172,0.09907038512616201,0.06347941567065073,0.02164674634794157,0.016334661354581673,62.70833333333332,1.0006644518272427
E14A018,2013,563,14. Yesilirmak Havzasi,YEŞİLIRMAK N. GÖMELEÖNÜ,"37°7'43"" Doğu - 40°18'42"" Kuzey",40.312,37.129,55.657,1608.0,347.0,11.0,558690000.0,18.407,17.741,40.75,8.661,11.037,28.956,46.558,5.35,54.2,25.4,25.4,42.7,149.0,99.8,39.4,25.4,11.3,5.35,5.7,2.9,3.18,8.02,6.05,13.1,19.8,29.1,9.98,5.35,2.9,1.9,1.65,3.45,12.3,14.8,13.3,19.8,51.1,52.1,24.6,11.2,4.8,2.75,2.69,2.15,7.67,9.2,8.28,12.3,31.8,32.4,15.3,6.99,2.98,1.71,1.67,5.75,19.9,24.6,22.2,29.8,85.2,84.0,41.0,18.1,7.99,4.59,4.34,9.24,32.0,39.6,35.6,47.9,137.0,135.0,66.0,29.1,12.9,7.38,6.97,149.0,1.65,17.74083333333333,8.398703555826954,0.09300577763164077,0.016570605187319884,0.05734870317002881,0.07089337175792508,0.06397694524495677,0.08587896253602306,0.24553314121037464,0.2420749279538905,0.11815561959654179,0.0521613832853026,0.023025936599423633,0.013227665706051873,0.012507204610951008,28.95583333333333,0.9986473652401647
E22A053,2017,935,22. Dogu Karadeniz Havzasi,PAZARSUYU EMECAN,"38°10'32"" Doğu - 40°55'37"" Kuzey",40.927,38.176,64.216,770.7,684.0,21.7,526900000.0,16.413,16.73,41.442,9.52,21.701,57.017,43.908,21.0,34.4,32.7,10.8,26.3,50.5,72.8,85.2,79.9,11.7,28.4,43.6,4.52,4.71,5.78,5.33,5.55,14.9,24.2,25.8,7.65,4.52,3.74,7.54,7.68,7.95,11.0,7.45,11.8,26.5,38.1,39.7,27.4,5.79,6.99,10.4,9.96,10.3,14.2,9.67,15.3,34.4,49.4,51.6,35.5,7.51,9.07,13.5,26.7,26.7,38.2,25.9,37.0,92.2,128.0,138.0,92.0,20.1,24.3,35.1,20.6,20.6,29.4,20.0,28.5,71.0,98.7,106.0,70.9,15.5,18.7,27.0,85.2,3.74,16.73,5.092647937836222,0.22355050806933652,0.03903508771929824,0.03903508771929824,0.05584795321637427,0.03786549707602339,0.054093567251461985,0.1347953216374269,0.1871345029239766,0.20175438596491227,0.13450292397660818,0.029385964912280703,0.035526315789473684,0.05131578947368421,57.01666666666667,0.9997076878105816
E14A018,2016,554,14. Yesilirmak Havzasi,YEŞİLIRMAK N. GÖMELEÖNÜ,"37°7'43"" Doğu - 40°18'42"" Kuzey",40.312,37.129,55.657,1608.0,309.0,9.8,496870000.0,17.99,15.733,42.319,6.224,9.781,25.734,41.406,0.914,2.4,2.65,8.41,88.2,85.6,98.5,134.0,64.4,14.5,5.35,2.9,0.005,1.1,1.9,1.9,4.02,21.7,13.1,13.6,9.19,4.3,2.4,1.47,0.366,1.8,2.2,4.51,18.9,42.5,41.3,39.5,24.1,8.31,3.32,1.99,0.227,1.12,1.37,2.8,11.7,26.4,25.7,24.6,15.0,5.17,2.06,1.23,0.609,2.9,3.66,7.51,29.4,70.8,66.6,65.9,38.9,13.8,5.53,3.2,0.979,4.66,5.89,12.1,47.3,114.0,107.0,106.0,62.6,22.3,8.89,5.15,134.0,0.005,15.732999999999999,8.517129600203395,0.00031780334329117144,0.0019708737864077668,0.009385113268608414,0.011844660194174758,0.0243042071197411,0.09514563106796116,0.229126213592233,0.21553398058252426,0.2132686084142395,0.12588996763754046,0.044660194174757285,0.01789644012944984,0.010355987055016181,25.73408333333333,1.0006185052896774
E14A018,2012,565,14. Yesilirmak Havzasi,YEŞİLIRMAK N. GÖMELEÖNÜ,"37°7'43"" Doğu - 40°18'42"" Kuzey",40.312,37.129,55.657,1608.0,302.0,9.5,485340000.0,19.752,15.397,29.572,8.598,9.575,25.118,40.445,4.65,5.7,5.0,5.7,8.8,38.6,169.0,65.5,30.7,12.2,5.0,4.02,3.46,3.74,3.74,3.74,4.65,7.62,26.8,28.3,10.4,4.65,3.18,2.9,3.54,4.11,3.75,4.16,4.83,14.8,78.4,39.4,18.1,7.21,3.65,2.81,2.2,2.56,2.33,2.59,3.01,9.22,48.7,24.5,11.3,4.48,2.27,1.74,5.9,6.62,6.24,6.92,7.53,24.7,126.0,65.7,29.2,12.0,6.08,4.52,9.49,10.6,10.0,11.1,12.1,39.7,203.0,106.0,47.0,19.3,9.78,7.27,169.0,2.9,15.396666666666668,10.976401818575448,0.1883524572418272,0.019536423841059605,0.021920529801324504,0.02066225165562914,0.022913907284768213,0.024933774834437088,0.08178807947019867,0.41721854304635764,0.2175496688741722,0.09668874172185431,0.039735099337748346,0.020132450331125828,0.01496688741721854,25.117499999999996,1.00195746657377
E14A018,2015,553,14. Yesilirmak Havzasi,YEŞİLIRMAK N. GÖMELEÖNÜ,"37°7'43"" Doğu - 40°18'42"" Kuzey",40.312,37.129,55.657,1608.0,283.0,9.0,455330000.0,18.034,14.447,43.882,7.739,8.984,23.606,37.944,27.4,26.8,40.5,37.1,22.7,93.4,190.0,47.4,29.9,8.02,0.469,2.89,1.48,2.89,8.49,7.14,6.68,17.7,29.9,15.6,2.9,0.078,0.006,0.003,4.79,11.0,19.5,14.9,14.5,31.6,36.3,20.9,11.4,4.28,2.1,2.09,2.98,6.82,12.1,9.29,9.04,19.6,22.6,13.0,7.11,2.66,1.31,1.3,7.98,17.7,32.5,24.9,21.9,52.6,58.6,34.7,18.4,7.12,3.5,3.37,12.8,28.4,52.2,40.0,35.2,84.5,94.2,55.9,29.6,11.5,5.62,5.41,190.0,0.003,14.446666666666665,13.151822796492848,0.00020766035994462394,0.028197879858657245,0.06254416961130742,0.11484098939929328,0.08798586572438162,0.0773851590106007,0.18586572438162544,0.20706713780918728,0.1226148409893993,0.06501766784452297,0.025159010600706713,0.012367491166077738,0.011908127208480565,23.605833333333333,0.9990468457655242
E22A053,2019,908,22. Dogu Karadeniz Havzasi,PAZARSUYU EMECAN,"38°10'32"" Doğu - 40°55'37"" Kuzey",40.927,38.176,64.216,770.7,589.0,18.7,454300000.0,16.124,14.391,43.292,7.478,18.681,49.15,37.858,100.0,44.6,45.3,33.7,18.9,28.7,69.3,83.5,30.3,26.1,22.9,16.2,3.93,4.32,9.07,8.79,8.09,9.59,9.89,10.2,8.69,7.49,5.55,4.13,9.7,9.53,13.5,17.1,11.7,15.8,32.3,28.4,11.8,9.32,7.62,5.92,12.6,12.4,17.5,22.2,15.2,20.5,41.9,36.9,15.3,12.1,9.89,7.68,33.7,32.1,46.8,59.4,36.7,54.9,109.0,98.8,39.6,32.4,26.5,19.9,26.0,24.7,36.1,45.8,28.3,42.3,83.7,76.2,30.5,25.0,20.4,15.3,100.0,3.93,14.390833333333333,6.948867913602409,0.2730905090045747,0.057215619694397285,0.05449915110356537,0.07945670628183361,0.10084889643463497,0.06230899830220714,0.0932088285229202,0.18505942275042445,0.16774193548387095,0.06723259762308999,0.05500848896434635,0.04499151103565365,0.033786078098471985,49.15,0.9986436080027129
