station_code,avg_annual_flow_m3s,page
D14A011,1.723,504
D14A064,0.444,511
D14A081,0.076,513
D14A117,0.613,518
D14A141,0.042,524
D14A162,8.412,529
D14A176,10.121,536
D14A179,153.178,538
D14A184,0.434,542
D14A188,0.042,544
E14A002,141.99,551
E14A018,17.99,554
E14A027,45.121,557
E14A038,2.835,562
E14A040,1.987,563
D22A093,5.118,898
D22A098,7.197,901
D22A105,2.494,903
D22A106,3.206,904
E22A053,16.398,929
E22A054,4.935,930
E22A062,4.444,931
E22A063,7.384,932
E22A065,6.353,934
E22A066,6.689,935
E22A071,4.285,939
