station_code,page,raw_table_text
D14A011,514,"Maks.       4.59      2.67      1.20      0.164     0.084     7.69     16.2       7.69     12.1      12.3      11.0       6.46
Min.        0.582     0.495     0.037     0.022     0.022     0.037     0.874     1.20      1.08      0.495     0.340     0.417
Ortalama    0.671     0.892     0.151     0.105     0.046     2.46      4.37      2.27      3.48      3.00      0.869     0.969
LT/SN/Km2   4.62      6.15      1.04      0.721     0.315    16.9      30.1      15.7      24.0      20.7       5.99      6.68
AKIM mm.   12.4      15.9       2.79      1.93      0.761    45.4      78.0      42.0      62.1      55.4      16.0      17.3
MİL. M3     1.80      2.31      0.404     0.280     0.110     6.58     11.3       6.09      9.01      8.04      2.33      2.51
===============================================================================================================================
SU YILI  ( 2013 )  YILLIK TOPLAM AKIM  50.76 MİLYON M3         350 MM.        11.1 LT/SN/Km2"
D14A064,521,"Maks.       0.320     0.898     2.21      1.24      1.24      0.982     2.01      0.684     0.684     0.190     0.108     0.085
Min.        0.050     0.190     0.190     0.431     0.684     0.486     0.486     0.160     0.108     0.065     0.027     0.027
Ortalama    0.159     0.282     0.550     0.644     0.762     0.637     0.719     0.423     0.203     0.098     0.049     0.052
LT/SN/Km2   1.59      2.82      5.50      6.44      7.62      6.37      7.19      4.23      2.03      0.981     0.488     0.516
AKIM mm.    4.26      7.30     14.7      17.3      18.4      17.1      18.6      11.3       5.25      2.63      1.31      1.34
MİL. M3     0.426     0.730     1.47      1.73      1.84      1.71      1.86      1.13      0.525     0.263     0.131     0.134
===============================================================================================================================
SU YILI  ( 2013 )  YILLIK TOPLAM AKIM  11.95 MİLYON M3         119 MM.        3.8 LT/SN/Km2"
D14A081,523,"Maks.       0.025     0.170     0.310     0.310     0.310     0.360     4.32      6.78      0.840     0.044     0.025     0.044
Min.        0.005     0.012     0.025     0.070     0.098     0.132     0.132     0.070     0.044     0.012     0.012     0.012
Ortalama    0.009     0.035     0.084     0.100     0.115     0.175     0.275     0.178     0.057     0.025     0.012     0.013
LT/SN/Km2   0.870     3.58      8.52     10.1      11.6      17.6      27.7      18.0       5.78      2.48      1.21      1.34
AKIM mm.    2.33      9.29     22.8      27.0      28.1      47.2      71.9      48.2      15.0       6.64      3.25      3.48
MİL. M3     0.023     0.092     0.226     0.268     0.279     0.468     0.712     0.477     0.148     0.066     0.032     0.034
===============================================================================================================================
SU YILI  ( 2013 )  YILLIK TOPLAM AKIM  2.82 MİLYON M3         285 MM.        9.0 LT/SN/Km2"
D14A117,529,"Maks.       0.170     0.170     0.131     0.170     0.863     4.47      7.61      1.57      1.10      0.225     0.131     0.131
Min.        KURU      0.098     0.098     0.098     0.098     0.336     0.697     0.447     0.170     0.070     0.070     0.048
Ortalama    0.098     0.098     0.100     0.113     0.163     1.31      2.38      0.622     0.373     0.127     0.092     0.085
LT/SN/Km2   1.26      1.26      1.28      1.45      2.09     16.8      30.5       7.98      4.79      1.62      1.18      1.09
AKIM mm.    3.37      3.26      3.44      3.88      5.24     45.0      79.0      21.4      12.4       4.35      3.15      2.82
MİL. M3     0.262     0.254     0.268     0.303     0.409     3.51      6.17      1.67      0.968     0.339     0.246     0.220
===============================================================================================================================
SU YILI  ( 2012 )  YILLIK TOPLAM AKIM  14.62 MİLYON M3         187 MM.        5.9 LT/SN/Km2"
D14A117,530,"Maks.       0.460     2.25      3.40      2.25      1.53      4.20      7.15      0.660     0.810     0.220     0.130     0.170
Min.        0.070     0.100     0.130     0.170     0.460     0.520     0.460     0.220     0.130     0.100     0.070     0.070
Ortalama    0.102     0.225     0.549     0.624     0.683     1.03      0.996     0.458     0.189     0.134     0.098     0.080
LT/SN/Km2   1.31      2.88      7.04      8.00      8.75     13.2      12.8       5.87      2.42      1.72      1.26      1.03
AKIM mm.    3.50      7.48     18.9      21.4      21.2      35.4      33.1      15.7       6.27      4.60      3.37      2.66
MİL. M3     0.273     0.583     1.47      1.67      1.65      2.76      2.58      1.23      0.489     0.359     0.263     0.207
===============================================================================================================================
SU YILI  ( 2013 )  YILLIK TOPLAM AKIM  13.53 MİLYON M3         174 MM.        5.5 LT/SN/Km2"
D14A141,538,"Maks.       0.014     0.045     0.120     0.185     0.185     0.150     0.250     0.150     1.21      0.032     0.220     0.022
Min.        0.009     0.005     0.005     0.007     0.065     0.045     0.045     0.014     0.009     0.009     0.005     0.005
Ortalama    0.009     0.008     0.031     0.045     0.077     0.075     0.133     0.072     0.022     0.015     0.057     0.007
LT/SN/Km2   0.429     0.379     1.46      2.17      3.68      3.55      6.33      3.41      1.07      0.731     2.72      0.317
AKIM mm.    1.15      0.983     3.92      5.80      8.90      9.51     16.4       9.13      2.77      1.96      7.29      0.823
MİL. M3     0.024     0.021     0.082     0.122     0.187     0.200     0.345     0.192     0.058     0.041     0.153     0.017
===============================================================================================================================
SU YILI  ( 2013 )  YILLIK TOPLAM AKIM  1.44 MİLYON M3         69 MM.        2.2 LT/SN/Km2"
D14A162,545,"Maks.       4.99     28.1      10.7      15.6      20.6      75.7      53.8      14.5       8.13      3.48      2.21      2.00
Min.        1.02      1.02      2.49      2.63      8.20     10.0      11.0       5.44      1.94      0.837     0.089     0.089
Ortalama    1.47      4.93      5.28      6.27     11.2      25.4      22.4      10.3       4.49      1.73      1.43      1.67
LT/SN/Km2   2.06      6.92      7.41      8.80     15.7      35.6      31.4      14.4       6.31      2.43      2.00      2.34
AKIM mm.    5.53     17.9      19.8      23.6      38.0      95.4      81.4      38.6      16.3       6.51      5.36      6.06
MİL. M3     3.94     12.8      14.1      16.8      27.1      68.0      58.0      27.5      11.6       4.64      3.82      4.32
===============================================================================================================================
SU YILI  ( 2013 )  YILLIK TOPLAM AKIM  252.62 MİLYON M3         354 MM.        11.2 LT/SN/Km2"
D14A176,554,"Maks.      13.1       3.83     10.9       7.97      7.51     12.2      14.0      12.8       9.35      5.44     10.5      24.0
Min.        1.82      1.55      1.73      2.64      3.44      3.60      2.32      2.16      2.96      3.28      4.06      2.96
Ortalama    6.33      2.10      3.57      3.93      4.77      5.08      4.04      5.46      4.28      4.02      5.61      4.76
LT/SN/Km2   1.67      0.555     0.944     1.04      1.26      1.34      1.07      1.44      1.13      1.06      1.48      1.26
AKIM mm.    4.48      1.44      2.53      2.79      3.05      3.59      2.77      3.86      2.94      2.85      3.97      3.26
MİL. M3    17.0       5.44      9.56     10.5      11.5      13.6      10.5      14.6      11.1      10.8      15.0      12.3
===============================================================================================================================
SU YILI  ( 2013 )  YILLIK TOPLAM AKIM  141.90 MİLYON M3         38 MM.        1.2 LT/SN/Km2"
D14A179,556,"Maks.     207.      341.      327.      343.      303.      296.      296.      309.      296.      290.      283.      266.
Min.        6.25     11.2      25.9      29.2      14.4       9.48     10.6      11.8      10.6      11.2      10.6       1.94
Ortalama   82.3     159.      193.      233.      208.      158.      160.       85.5      74.2     101.      128.       91.9
LT/SN/Km2   2.29      4.44      5.39      6.51      5.81      4.41      4.45      2.38      2.07      2.81      3.58      2.56
AKIM mm.    6.14     11.5      14.4      17.4      14.1      11.8      11.5       6.38      5.37      7.52      9.59      6.64
MİL. M3   220.      413.      518.      625.      504.      424.      414.      229.      192.      270.      344.      238.
===============================================================================================================================
SU YILI  ( 2013 )  YILLIK TOPLAM AKIM  4391.00 MİLYON M3         122 MM.        3.9 LT/SN/Km2"
E14A002,560,"Maks.     145.      206.      256.      262.      248.      270.      358.      169.      149.      110.      128.      127.
Min.       33.2      60.3      64.4     134.      143.      127.      135.       47.8      32.6      19.9      24.9      43.0
Ortalama   94.5     137.      172.      183.      193.      215.      191.      131.      101.       74.9      95.3     101.
LT/SN/Km2   2.79      4.04      5.07      5.39      5.69      6.35      5.63      3.85      2.98      2.21      2.81      2.97
AKIM mm.    7.46     10.5      13.6      14.4      13.8      17.0      14.6      10.3       7.72      5.92      7.53      7.69
MİL. M3   253.      355.      461.      490.      467.      577.      495.      350.      262.      201.      255.      261.
===============================================================================================================================
SU YILI  ( 2013 )  YILLIK TOPLAM AKIM  4427.00 MİLYON M3         131 MM.        4.1 LT/SN/Km2"
