station_code,page,oct_max,nov_max,dec_max,jan_max,feb_max,mar_max,apr_max,may_max,jun_max,jul_max,aug_max,sep_max,oct_min,nov_min,dec_min,jan_min,feb_min,mar_min,apr_min,may_min,jun_min,jul_min,aug_min,sep_min,oct_avg,nov_avg,dec_avg,jan_avg,feb_avg,mar_avg,apr_avg,may_avg,jun_avg,jul_avg,aug_avg,sep_avg,oct_ltsnkm2,nov_ltsnkm2,dec_ltsnkm2,jan_ltsnkm2,feb_ltsnkm2,mar_ltsnkm2,apr_ltsnkm2,may_ltsnkm2,jun_ltsnkm2,jul_ltsnkm2,aug_ltsnkm2,sep_ltsnkm2,oct_mm,nov_mm,dec_mm,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mil_m3,nov_mil_m3,dec_mil_m3,jan_mil_m3,feb_mil_m3,mar_mil_m3,apr_mil_m3,may_mil_m3,jun_mil_m3,jul_mil_m3,aug_mil_m3,sep_mil_m3,annual_total_m3,annual_mm,annual_lt_sn_km2
D14A011,502,0.057,0.057,0.057,0.037,1.83,14.8,20.2,15.7,12.6,12.8,12.1,11.6,0.022,0.005,,,0.004,0.012,0.012,0.164,0.674,0.769,0.012,0.417,0.054,0.028,0.02,0.018,0.034,3.5,5.44,2.24,2.2,7.59,3.77,1.62,0.371,0.193,0.139,0.126,0.234,24.1,37.5,15.4,15.1,52.3,26.0,11.1,0.993,0.5,0.371,0.337,0.566,64.6,97.3,41.4,39.3,140.0,69.5,28.9,0.144,0.073,0.054,0.049,0.082,9.37,14.1,6.0,5.7,20.3,10.1,4.19,70160000.0,484.0,15.3
D14A064,509,0.431,0.541,0.431,0.827,1.81,2.63,1.42,0.982,0.898,0.375,0.225,0.108,0.019,0.065,0.16,0.19,0.19,0.541,0.612,0.265,0.225,0.027,0.027,0.05,0.049,0.119,0.235,0.35,0.427,0.995,0.89,0.619,0.379,0.162,0.099,0.088,0.494,1.19,2.35,3.5,4.27,9.95,8.9,6.19,3.79,1.62,0.986,0.88,1.32,3.08,6.3,9.37,10.3,26.6,23.1,16.6,9.82,4.35,2.64,2.28,0.132,0.308,0.63,0.937,1.03,2.66,2.31,1.66,0.982,0.435,0.264,0.228,11580000.0,116.0,3.7
D14A081,511,0.025,0.48,0.044,0.42,0.76,0.84,0.84,0.31,1.38,0.098,0.098,0.07,0.005,0.005,0.025,0.044,0.07,0.098,0.132,0.005,0.025,0.012,0.005,0.005,0.012,0.028,0.028,0.14,0.198,0.229,0.287,0.082,0.067,0.054,0.07,0.023,1.17,2.86,2.83,14.1,20.0,23.1,29.0,8.24,6.76,5.47,7.07,2.37,3.12,7.41,7.59,37.8,48.4,61.9,75.1,22.1,17.5,14.7,18.9,6.14,0.031,0.073,0.075,0.374,0.479,0.613,0.744,0.218,0.173,0.145,0.187,0.061,3170000.0,321.0,10.2
D14A117,516,0.17,4.2,2.25,2.1,5.53,12.6,7.48,0.66,0.81,0.3,0.13,0.13,0.07,0.07,0.17,0.3,0.22,1.24,0.66,0.22,0.13,0.07,0.049,0.07,0.072,0.234,0.493,0.561,1.11,2.18,1.5,0.394,0.284,0.16,0.085,0.085,0.922,3.0,6.32,7.2,14.3,27.9,19.3,5.05,3.64,2.05,1.08,1.09,2.47,7.79,16.9,19.3,34.5,74.8,49.9,13.5,9.43,5.49,2.9,2.82,0.193,0.607,1.32,1.5,2.69,5.83,3.89,1.05,0.735,0.429,0.226,0.22,18690000.0,240.0,7.6
D14A141,523,0.15,0.007,0.014,0.005,0.009,0.12,0.15,0.12,0.15,0.094,0.065,0.032,0.003,0.003,0.003,,0.003,0.009,0.045,0.022,,0.001,,0.005,0.005,0.004,0.004,0.004,0.005,0.02,0.083,0.046,0.037,0.035,0.02,0.009,0.25,0.213,0.174,0.189,0.248,0.965,3.95,2.18,1.75,1.67,0.971,0.419,0.671,0.551,0.465,0.506,0.601,2.58,10.2,5.85,4.54,4.47,2.6,1.09,0.014,0.012,0.01,0.011,0.013,0.054,0.215,0.123,0.095,0.094,0.055,0.023,720000.0,34.0,1.1
D14A162,529,23.6,17.5,21.7,10.4,8.47,62.9,134.0,31.7,21.5,4.77,2.92,,1.27,0.99,2.94,3.12,3.34,6.17,16.0,10.6,3.27,0.716,0.331,0.645,3.18,4.09,7.58,4.31,3.98,16.4,29.4,16.0,7.39,2.09,1.39,1.1,4.46,5.75,10.6,6.04,5.58,23.0,41.2,22.5,10.4,2.93,1.95,1.54,11.9,14.9,28.5,16.2,13.5,61.7,107.0,60.1,26.9,7.86,5.21,3.99,8.51,10.6,20.3,11.5,9.63,44.0,76.1,42.9,19.2,5.6,3.71,2.84,254890000.0,358.0,11.3
D14A176,537,20.0,3.47,4.99,5.59,16.0,57.1,56.1,40.4,26.6,16.7,14.5,18.4,2.08,1.69,1.8,2.23,2.67,6.0,13.9,6.61,7.43,7.22,7.43,5.8,3.35,2.18,2.51,3.39,3.58,30.8,37.5,16.0,12.9,9.72,9.55,14.5,0.886,0.577,0.664,0.895,0.947,8.14,9.92,4.22,3.41,2.57,2.52,3.82,2.37,1.49,1.78,2.4,2.29,21.8,25.7,11.3,8.84,6.88,6.76,9.91,8.98,5.65,6.73,9.07,8.67,82.5,97.3,42.7,33.4,26.0,25.6,37.5,384100000.0,102.0,3.2
D14A179,539,194.0,277.0,219.0,262.0,296.0,290.0,456.0,292.0,313.0,300.0,248.0,281.0,1.94,4.81,6.25,5.25,16.6,21.8,36.0,33.0,16.6,11.8,15.1,17.4,19.9,50.6,45.5,130.0,194.0,201.0,280.0,184.0,173.0,136.0,199.0,185.0,0.555,1.41,1.27,3.62,5.42,5.61,7.81,5.13,4.83,3.8,5.56,5.15,1.49,3.66,3.4,9.7,13.1,15.0,20.3,13.7,12.5,10.2,14.9,13.3,53.3,131.0,122.0,348.0,470.0,539.0,726.0,493.0,449.0,365.0,534.0,479.0,4709300000.0,131.0,4.2
D14A184,544,0.525,0.665,1.35,0.618,0.724,2.67,2.4,1.4,1.15,0.448,0.302,1.29,0.07,0.115,0.211,0.431,0.478,0.618,1.09,0.448,0.188,0.014,0.014,0.036,0.126,0.245,0.61,0.458,0.568,1.17,1.44,1.07,0.571,0.337,0.158,0.138,6.6,12.8,31.9,24.0,29.7,61.3,75.3,56.2,29.9,17.7,8.29,7.24,17.7,33.3,85.6,64.3,72.0,164.0,195.0,151.0,77.5,47.3,22.2,18.8,0.337,0.635,1.63,1.23,1.37,3.14,3.73,2.88,1.48,0.903,0.424,0.358,18120000.0,949.0,30.1
D14A188,546,,,0.009,0.025,0.057,0.274,1.86,0.243,0.148,0.041,0.025,0.009,,,,0.006,0.012,0.009,0.075,0.012,0.006,0.006,,,,,0.003,0.013,0.023,0.055,0.204,0.072,0.024,0.016,0.006,0.003,,,0.224,0.854,1.57,3.74,13.8,4.87,1.62,1.1,0.429,0.225,,,0.601,2.29,3.79,10.0,35.7,13.1,4.2,2.94,1.15,0.584,,,0.009,0.034,0.056,0.148,0.529,0.193,0.062,0.043,0.017,0.009,1100000.0,74.0,2.4
