file_name,page,region,station_code,station_name,coordinates
dsi_2020.pdf,462,14. Yesilirmak Havzasi,D14A011,LADİK G. REG. ÇIKIŞI,"36°1'14"" Doğu - 40°55'13"" Kuzey"
dsi_2020.pdf,465,14. Yesilirmak Havzasi,D14A033,KOŞMASAT D. ÖZBEYLİ,"39°42'39"" Doğu - 40°11'27"" Kuzey"
dsi_2020.pdf,466,14. Yesilirmak Havzasi,D14A048,SALHAN SUYU TANRIVERMİŞ,"35°15'4"" Doğu - 40°38'36"" Kuzey"
dsi_2020.pdf,467,14. Yesilirmak Havzasi,D14A050,DÖVENCİ DERESİ FİDANLIK,"35°14'36"" Doğu - 40°42'27"" Kuzey"
dsi_2020.pdf,469,14. Yesilirmak Havzasi,D14A064,AKSU D. GÖKÇE,"36°32'24"" Doğu - 40°15'5"" Kuzey"
dsi_2020.pdf,471,14. Yesilirmak Havzasi,D14A081,DEREÇAM D. GÜVEN BARAJI GİRİŞİ,"35°58'1"" Doğu - 41°4'33"" Kuzey"
dsi_2020.pdf,472,14. Yesilirmak Havzasi,D14A104,AHİİLYAS DERESİ EVCİYENİKIŞLA,"34°37'6"" Doğu - 40°22'20"" Kuzey"
dsi_2020.pdf,474,14. Yesilirmak Havzasi,D14A109,SADAK D. ÇAKIRLAR,"39°34'43"" Doğu - 40°4'47"" Kuzey"
dsi_2020.pdf,475,14. Yesilirmak Havzasi,D14A117,ÇİLKORU D. GÖKDERE,"36°43'56"" Doğu - 40°29'21"" Kuzey"
dsi_2020.pdf,476,14. Yesilirmak Havzasi,D14A126,CEVİZLİK D. ERENKAYA,"39°6'28"" Doğu - 40°13'56"" Kuzey"
dsi_2020.pdf,477,14. Yesilirmak Havzasi,D14A127,ULUŞİRAN D. ERENKAYA,"39°6'28"" Doğu - 40°13'47"" Kuzey"
dsi_2020.pdf,479,14. Yesilirmak Havzasi,D14A133,KANLI D. PAMUKLU,"35°48'18"" Doğu - 40°46'10"" Kuzey"
dsi_2020.pdf,480,14. Yesilirmak Havzasi,D14A135,ALACA Ç. DEREYAZICI,"34°57'42"" Doğu - 40°14'37"" Kuzey"
