year,count,mean,std,min,max,median
2005,8,2.03525,2.0369596917254613,0.285,6.031,1.099
2006,7,4.036428571428571,4.4265235364840905,0.21,13.12,3.242
2007,6,3.3638333333333335,2.9483793118706196,0.254,7.981,2.4625
2008,6,3.1454999999999997,3.254045835571466,0.308,8.593,2.077
2009,8,2.761375,3.135472529323587,0.131,8.629,1.601
2010,8,2.774,3.640700246616616,0.128,10.55,1.4275
2011,8,2.3804999999999996,2.950838331244675,0.096,8.549,1.1795
2012,6,4.206,2.557029135539914,0.103,7.015,5.024
2013,6,1.782333333333333,3.1014024354582985,0.098,8.01,0.3965
2014,6,0.8825,1.1142175281335327,0.027,2.574,0.34299999999999997
2015,11,3.615,3.5597097072654673,0.157,10.318,2.472
2016,11,3.488545454545455,3.2488338019552914,0.15,9.3,2.597
2017,11,2.5894545454545455,2.302920552847465,0.078,6.011,2.153
2018,11,2.462181818181818,2.3286125404704756,0.036,6.653,2.209
2019,12,3.9115,3.1567109321397973,0.113,9.19,3.568
2020,12,2.9469166666666666,2.309174841143411,0.127,6.783,2.5774999999999997
